,BLEU,ROUGE1,ROUGE2,ROUGEL,BERT_P,BERT_R,BERT_F1
"('consulta_8A71C7A0-6F38-4E12-8890-7AA3252AAF8F_respuesta.json', 'respuesta_consulta_8A71C7A0-6F38-4E12-8890-7AA3252AAF8F.txt_with_template.txt')",0.14143691765885746,0.5343228200371057,0.24208566108007448,0.32282003710575147,0.7917487621307373,0.7973724603652954,0.7945505976676941
"('consulta_653B1D0B-9FB9-4D8C-9EAC-A735C81CAB06_respuesta.json', 'respuesta_consulta_653B1D0B-9FB9-4D8C-9EAC-A735C81CAB06.txt_with_template.txt')",0.10908993665208482,0.4451038575667655,0.1636904761904762,0.20178041543026703,0.7610509395599365,0.7600148916244507,0.760532557964325
"('consulta_72B5880F-98BD-4656-8EB8-D0749915ED27_respuesta.json', 'respuesta_consulta_72B5880F-98BD-4656-8EB8-D0749915ED27.txt_with_template.txt')",0.1627854389753084,0.5966514459665144,0.2717557251908397,0.3105022831050228,0.8057395219802856,0.807181715965271,0.8064600229263306
"('consulta_AA7F4069-3FAD-411E-AEDE-1D299321E3B8_respuesta.json', 'respuesta_consulta_AA7F4069-3FAD-411E-AEDE-1D299321E3B8.txt_with_template.txt')",0.1229390832646972,0.5184000000000001,0.2247191011235955,0.30720000000000003,0.7996636629104614,0.7955917119979858,0.7976225018501282
"('consulta_42583690-5EF3-4D85-ADCC-F4D0AC9D0897_respuesta.json', 'respuesta_consulta_42583690-5EF3-4D85-ADCC-F4D0AC9D0897.txt_with_template.txt')",0.1394302747993256,0.48630136986301375,0.21305841924398625,0.2808219178082192,0.8094540238380432,0.811022937297821,0.8102377653121948
"('primera_visita_D99C6421-5D55-4FF3-86CC-3FED550B643E_respuesta.json', 'respuesta_primera_visita_D99C6421-5D55-4FF3-86CC-3FED550B643E.txt_with_template.txt')",0.13438707828219945,0.48011363636363635,0.21652421652421652,0.21875,0.7775258421897888,0.798447847366333,0.7878479361534119
"('primera_visita_A7642DB6-E963-4E3E-B804-91BE49DFDBFE_respuesta.json', 'respuesta_primera_visita_A7642DB6-E963-4E3E-B804-91BE49DFDBFE.txt_with_template.txt')",0.14993061533516477,0.568081991215227,0.25256975036710716,0.2518301610541728,0.7993476390838623,0.8070607781410217,0.8031857013702393
"('primera_visita_AA7F4069-3FAD-411E-AEDE-1D299321E3B8_respuesta.json', 'respuesta_primera_visita_AA7F4069-3FAD-411E-AEDE-1D299321E3B8.txt_with_template.txt')",0.19777360952225012,0.5721997300944669,0.34100135317997293,0.3157894736842105,0.7688483595848083,0.7811881899833679,0.7749691605567932
"('primera_visita_B2D7B2AE-8C70-44D2-8182-304C48CA8BB6_respuesta.json', 'respuesta_primera_visita_B2D7B2AE-8C70-44D2-8182-304C48CA8BB6.txt_with_template.txt')",0.2366524031801833,0.6120058565153733,0.40822320117474303,0.4773060029282577,0.8431719541549683,0.8424438238143921,0.8428077101707458
"('primera_visita_D1CD8A5D-EBFB-4D37-9BB3-40BA996AC02B_respuesta.json', 'respuesta_primera_visita_D1CD8A5D-EBFB-4D37-9BB3-40BA996AC02B.txt_with_template.txt')",0.12677396151059442,0.5205479452054795,0.2582417582417582,0.26027397260273977,0.7900222539901733,0.7777955532073975,0.7838612198829651
"('consulta_A7642DB6-E963-4E3E-B804-91BE49DFDBFE_respuesta.json', 'respuesta_consulta_A7642DB6-E963-4E3E-B804-91BE49DFDBFE.txt_with_template.txt')",0.1262509312143136,0.4620355411954765,0.1685575364667747,0.24878836833602583,0.8049688339233398,0.8054996728897095,0.8052341938018799
"('consulta_5EEBC636-AAB1-43CE-9BBA-FE7F5233FF0D_respuesta.json', 'respuesta_consulta_5EEBC636-AAB1-43CE-9BBA-FE7F5233FF0D.txt_with_template.txt')",0.1181871949651535,0.4215116279069767,0.1545189504373178,0.23255813953488372,0.7932131290435791,0.8049298524856567,0.7990285158157349
"('consulta_B2D7B2AE-8C70-44D2-8182-304C48CA8BB6_respuesta.json', 'respuesta_consulta_B2D7B2AE-8C70-44D2-8182-304C48CA8BB6.txt_with_template.txt')",0.13059074836106058,0.4110032362459547,0.1331168831168831,0.23624595469255663,0.8185825347900391,0.8217242956161499,0.8201503753662109
"('consulta_E1706C92-574B-4C9A-97FD-633412F357E0_respuesta.json', 'respuesta_consulta_E1706C92-574B-4C9A-97FD-633412F357E0.txt_with_template.txt')",0.12913617982522704,0.4674922600619195,0.16770186335403725,0.2569659442724458,0.7896528244018555,0.7861989736557007,0.7879220843315125
"('primera_visita_C3DF5E9A-7850-41B2-B652-05858D22AA7F_respuesta.json', 'respuesta_primera_visita_C3DF5E9A-7850-41B2-B652-05858D22AA7F.txt_with_template.txt')",0.21602251570117711,0.5297029702970298,0.33250620347394544,0.30445544554455445,0.8000258207321167,0.7975120544433594,0.7987669706344604
"('primera_visita_67272595-F178-4764-B680-7E6408069649_respuesta.json', 'respuesta_primera_visita_67272595-F178-4764-B680-7E6408069649.txt_with_template.txt')",0.19480000121213234,0.559254327563249,0.2803738317757009,0.28495339547270304,0.7911449670791626,0.8023031949996948,0.7966850399971008
"('primera_visita_94966A31-A634-4A23-BF92-F4CAC47BB189_respuesta.json', 'respuesta_primera_visita_94966A31-A634-4A23-BF92-F4CAC47BB189.txt_with_template.txt')",0.15967129592964394,0.5161290322580646,0.2403697996918336,0.30414746543778803,0.8154417276382446,0.8232271075248718,0.8193159699440002
"('primera_visita_88124EA7-DD57-4CF0-A669-862B3A191103_respuesta.json', 'respuesta_primera_visita_88124EA7-DD57-4CF0-A669-862B3A191103.txt_with_template.txt')",0.12110423540963783,0.4447852760736196,0.23692307692307693,0.25153374233128833,0.7791315913200378,0.7942870855331421,0.7866364121437073
"('primera_visita_5EEBC636-AAB1-43CE-9BBA-FE7F5233FF0D_respuesta.json', 'respuesta_primera_visita_5EEBC636-AAB1-43CE-9BBA-FE7F5233FF0D.txt_with_template.txt')",0.12298164512370073,0.4220183486238532,0.16294349540078842,0.19921363040629098,0.7586725950241089,0.7693800926208496,0.7639887928962708
"('primera_visita_653B1D0B-9FB9-4D8C-9EAC-A735C81CAB06_respuesta.json', 'respuesta_primera_visita_653B1D0B-9FB9-4D8C-9EAC-A735C81CAB06.txt_with_template.txt')",0.13781075424425188,0.5227272727272727,0.22801302931596093,0.32142857142857145,0.8052973747253418,0.802143931388855,0.8037175536155701
"('consulta_068FE9E4-971F-40C5-9473-33BA61FDB234_respuesta.json', 'respuesta_consulta_068FE9E4-971F-40C5-9473-33BA61FDB234.txt_with_template.txt')",0.20080091527220503,0.4959999999999999,0.3181818181818182,0.3146666666666667,0.8131986856460571,0.8198152780532837,0.816493570804596
"('consulta_94966A31-A634-4A23-BF92-F4CAC47BB189_respuesta.json', 'respuesta_consulta_94966A31-A634-4A23-BF92-F4CAC47BB189.txt_with_template.txt')",0.12999769548561269,0.45732689210950084,0.13570274636510501,0.2254428341384863,0.7968991994857788,0.8055784106254578,0.8012153506278992
"('primera_visita_A9B80CA9-786B-4CFC-ACE1-6F346A9D93FA_respuesta.json', 'respuesta_primera_visita_A9B80CA9-786B-4CFC-ACE1-6F346A9D93FA.txt_with_template.txt')",0.10950795408198027,0.36363636363636365,0.11854103343465044,0.1787878787878788,0.7678154706954956,0.7686069011688232,0.7682110071182251
"('consulta_C3DF5E9A-7850-41B2-B652-05858D22AA7F_respuesta.json', 'respuesta_consulta_C3DF5E9A-7850-41B2-B652-05858D22AA7F.txt_with_template.txt')",0.11726018824444445,0.436241610738255,0.164983164983165,0.2550335570469799,0.7699437141418457,0.775294303894043,0.7726097106933594
"('primera_visita_068FE9E4-971F-40C5-9473-33BA61FDB234_respuesta.json', 'respuesta_primera_visita_068FE9E4-971F-40C5-9473-33BA61FDB234.txt_with_template.txt')",0.15167377697200785,0.5629860031104199,0.27769110764430577,0.3639191290824261,0.8164654970169067,0.8230748772621155,0.819756805896759
"('primera_visita_37580D0A-AFC1-4145-9E5E-D57E25B997DF_respuesta.json', 'respuesta_primera_visita_37580D0A-AFC1-4145-9E5E-D57E25B997DF.txt_with_template.txt')",0.14497917272789557,0.46583850931677023,0.17757009345794394,0.22981366459627328,0.7720991373062134,0.7926691174507141,0.782248854637146
"('consulta_37580D0A-AFC1-4145-9E5E-D57E25B997DF_respuesta.json', 'respuesta_consulta_37580D0A-AFC1-4145-9E5E-D57E25B997DF.txt_with_template.txt')",0.1353502132910793,0.4716692189892802,0.2150537634408602,0.2695252679938744,0.795318603515625,0.8054981827735901,0.8003760576248169
"('consulta_D4D0DC26-BA1A-42AB-890F-75FAFFD7A2BC_respuesta.json', 'respuesta_consulta_D4D0DC26-BA1A-42AB-890F-75FAFFD7A2BC.txt_with_template.txt')",0.10470508826919497,0.3962558502340094,0.14710485133020346,0.2152886115444618,0.7949815988540649,0.7975131869316101,0.7962453961372375
"('primera_visita_94C58E41-5BFE-402B-92C0-18888CD824E4_respuesta.json', 'respuesta_primera_visita_94C58E41-5BFE-402B-92C0-18888CD824E4.txt_with_template.txt')",0.0677546336236599,0.057803468208092484,0.015473887814313348,0.04624277456647399,0.5446038246154785,0.659416675567627,0.5965360999107361
"('consulta_94C58E41-5BFE-402B-92C0-18888CD824E4_respuesta.json', 'respuesta_consulta_94C58E41-5BFE-402B-92C0-18888CD824E4.txt_with_template.txt')",0.16603269778115456,0.5214723926380368,0.2246153846153846,0.2914110429447853,0.7873978018760681,0.791298508644104,0.7893434166908264
"('primera_visita_E1706C92-574B-4C9A-97FD-633412F357E0_respuesta.json', 'respuesta_primera_visita_E1706C92-574B-4C9A-97FD-633412F357E0.txt_with_template.txt')",0.19314805640655044,0.501628664495114,0.26470588235294124,0.28338762214983715,0.7949934005737305,0.8021113872528076,0.7985365390777588
"('primera_visita_6FC726D1-9369-4435-B443-192396C6B13E_respuesta.json', 'respuesta_primera_visita_6FC726D1-9369-4435-B443-192396C6B13E.txt_with_template.txt')",0.2251445064975868,0.5632333767926988,0.31111111111111117,0.3415906127770535,0.816362738609314,0.8286499977111816,0.8224604725837708
"('consulta_6FC726D1-9369-4435-B443-192396C6B13E_respuesta.json', 'respuesta_consulta_6FC726D1-9369-4435-B443-192396C6B13E.txt_with_template.txt')",0.13340319027975006,0.4440842787682334,0.20162601626016258,0.19773095623987033,0.7936073541641235,0.793328583240509,0.7934679388999939
"('primera_visita_62C2C95D-C4EE-4D78-BFAF-604E44981A7C_respuesta.json', 'respuesta_primera_visita_62C2C95D-C4EE-4D78-BFAF-604E44981A7C.txt_with_template.txt')",0.13194868730639048,0.39865996649916247,0.1546218487394958,0.19765494137353432,0.7890034317970276,0.7670338153839111,0.7778635621070862
"('primera_visita_72B5880F-98BD-4656-8EB8-D0749915ED27_respuesta.json', 'respuesta_primera_visita_72B5880F-98BD-4656-8EB8-D0749915ED27.txt_with_template.txt')",0.14519479961714168,0.49354838709677423,0.18122977346278318,0.24193548387096772,0.7826555967330933,0.7772367000579834,0.7799367904663086
"('primera_visita_DC089D0E-199C-4175-A397-FDC478446E22_respuesta.json', 'respuesta_primera_visita_DC089D0E-199C-4175-A397-FDC478446E22.txt_with_template.txt')",0.1772861672533183,0.5371428571428571,0.31232091690544417,0.29428571428571426,0.8070448637008667,0.8120076060295105,0.8095186352729797
"('consulta_DC089D0E-199C-4175-A397-FDC478446E22_respuesta.json', 'respuesta_consulta_DC089D0E-199C-4175-A397-FDC478446E22.txt_with_template.txt')",0.11149756661107492,0.35275080906148865,0.12987012987012986,0.18122977346278318,0.7681474089622498,0.7672015428543091,0.7676742076873779
media,0.14601850771083932,0.47509879687001116,0.21378926961336714,0.25956925141008413,0.7865275728702545,0.7929760193824769,0.7896141993999481
desviacion,0.0353663352731401,0.08817372989834112,0.07293525239758013,0.06315600993824591,0.04025918911015694,0.02888711945867866,0.034522548783444885
